nom,categorie,type_repas,calories,proteines,glucides,lipides,fibres,sucres,sodium_mg,cholesterol_mg,eau_ml
Balsamic Glaze (1 tbsp),Condiment,Lunch,40.0,0.0,9.0,0.0,0.0,8.0,10.0,0.0,0.0
Bobotie (1 serving),Meal/Meat,Dinner,450.0,25.0,30.0,25.0,5.0,15.0,700.0,150.0,0.0
Yellow Rice (1 cup),Grain,Dinner,230.0,4.0,50.0,1.0,2.0,1.0,300.0,0.0,0.0
Chutney (Mango 1 tbsp),Condiment,Dinner,45.0,0.1,11.0,0.1,0.5,10.0,180.0,0.0,0.0
Malva Pudding (1 slice),Dessert,Snack,380.0,5.0,60.0,14.0,2.0,40.0,350.0,60.0,0.0
Custard (1/4 cup),Condiment,Snack,80.0,3.0,10.0,3.0,0.0,8.0,40.0,40.0,0.0
Bubble Tea (16 oz milk tea),Beverage,Snack,320.0,2.0,70.0,4.0,1.0,60.0,100.0,10.0,473.0
Tapioca Pearls (1/4 cup boba),Condiment,Snack,100.0,0.0,25.0,0.0,0.0,20.0,5.0,0.0,0.0
Paella (1.5 cups seafood),Meal/Rice,Dinner,550.0,30.0,70.0,18.0,6.0,5.0,1200.0,110.0,0.0
Chorizo (1 oz in paella),Protein/Meat,Dinner,130.0,6.0,1.0,11.0,0.0,0.5,350.0,30.0,0.0
Saffron (pinch),Condiment,Dinner,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Aioli (Garlic 1 tbsp),Condiment,Dinner,95.0,0.1,0.5,10.5,0.0,0.1,70.0,5.0,0.0
Gazpacho (1 cup),Meal/Soup,Lunch,90.0,2.0,12.0,4.0,3.0,7.0,600.0,0.0,240.0
Croutons (Garlic 1/4 cup),Grain,Lunch,50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,0.0
Olive Oil (1 tsp garnish),Condiment,Lunch,40.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
Churros (2 sticks),Dessert,Snack,240.0,3.0,30.0,12.0,1.5,10.0,200.0,20.0,0.0
Chocolate Sauce (1 tbsp dipping),Condiment,Snack,50.0,0.5,10.0,1.5,1.0,8.0,5.0,0.0,0.0
Cinnamon Sugar (1 tsp),Condiment,Snack,20.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Horchata (1 cup),Beverage,Snack,140.0,2.0,25.0,3.0,1.0,22.0,30.0,5.0,240.0
Ceviche (1 cup fish),Meal/Fish,Lunch,180.0,25.0,15.0,2.0,3.0,4.0,700.0,45.0,0.0
Red Onion (1/4 cup in ceviche),Vegetable,Lunch,16.0,0.3,3.7,0.0,0.4,1.8,1.0,0.0,0.0
Cilantro (2 tbsp garnish),Condiment,Lunch,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Corn Nuts (1 oz),Snack/Processed,Snack,130.0,2.0,23.0,4.0,2.0,0.0,180.0,0.0,0.0
Lomo Saltado (1.5 cups),Meal/Meat,Dinner,500.0,35.0,45.0,22.0,5.0,6.0,1100.0,90.0,0.0
French Fries (as side),Vegetable/Processed,Dinner,200.0,2.0,25.0,10.0,2.0,0.2,130.0,0.0,0.0
Soy Sauce (1 tbsp in stir-fry),Condiment,Dinner,9.0,1.0,1.0,0.0,0.1,0.4,920.0,0.0,0.0
Aji Amarillo Paste (1 tsp),Condiment,Dinner,5.0,0.1,1.0,0.0,0.5,0.5,50.0,0.0,0.0
Pisco Sour (1 drink),Beverage,Snack,250.0,1.0,25.0,0.0,0.0,24.0,5.0,5.0,180.0
Egg White (in drink),Condiment,Snack,17.0,3.6,0.2,0.0,0.0,0.2,55.0,0.0,0.0
Angostura Bitters (dash),Condiment,Snack,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfajores (1 cookie),Dessert,Snack,180.0,2.0,22.0,10.0,1.0,15.0,60.0,20.0,0.0
Dulce de Leche (1 tbsp filling),Condiment,Snack,65.0,1.0,12.0,1.5,0.0,10.0,30.0,5.0,0.0
Coconut (shredded garnish),Fruit,Snack,10.0,0.1,0.5,1.0,0.2,0.1,0.0,0.0,0.0
Mate (1 cup),Beverage,Breakfast,5.0,0.2,1.0,0.0,0.0,0.0,2.0,0.0,240.0
Media Luna (1 pastry),Grain,Breakfast,190.0,4.0,25.0,8.0,1.0,9.0,150.0,25.0,0.0
Chimichurri (1 tbsp),Condiment,Dinner,45.0,0.1,0.5,4.5,0.2,0.1,100.0,0.0,0.0
Skirt Steak (4oz grilled),Protein/Meat,Dinner,240.0,26.0,0.0,15.0,0.0,0.0,70.0,80.0,0.0
Provoleta (1 oz grilled cheese),Dairy,Dinner,100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,0.0
Oregano (1 tsp),Condiment,Dinner,3.0,0.1,0.7,0.0,0.2,0.0,0.0,0.0,0.0
Empanada (Beef 1 medium),Meal/Processed,Lunch,290.0,10.0,28.0,16.0,3.0,3.0,550.0,30.0,0.0
Chicken Milanesa (1 serving),Meal/Meat,Dinner,450.0,35.0,30.0,22.0,3.0,2.0,700.0,100.0,0.0
Mashed Potatoes (side),Vegetable,Dinner,150.0,3.0,25.0,4.0,2.0,2.0,300.0,10.0,0.0
Flan (1 slice),Dessert,Snack,220.0,6.0,35.0,7.0,0.0,33.0,80.0,90.0,0.0
Choripan (1 sandwich),Meal/Processed,Lunch,550.0,20.0,40.0,35.0,3.0,4.0,1100.0,80.0,250.0
Baguette (slice),Grain,Lunch,70.0,2.5,14.0,0.5,0.6,0.5,150.0,0.0,0.0
Chimichurri (1 tbsp),Condiment,Lunch,45.0,0.1,0.5,4.5,0.2,0.1,100.0,0.0,0.0
Pizza (Margherita 1 slice),Meal/Processed,Dinner,250.0,12.0,30.0,10.0,3.0,4.0,600.0,25.0,250.0
Fresh Mozzarella (1 oz),Dairy,Dinner,72.0,5.0,0.8,5.0,0.0,0.3,138.0,22.0,0.0
Basil (2 tbsp fresh),Condiment,Dinner,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Carbonara (1.5 cups),Meal/Pasta,Dinner,650.0,25.0,60.0,35.0,4.0,4.0,900.0,250.0,0.0
Guanciale (1 oz),Protein/Meat,Dinner,170.0,3.0,0.0,18.0,0.0,0.0,450.0,35.0,0.0
Pecorino Cheese (1 tbsp),Dairy,Dinner,25.0,1.5,0.1,2.0,0.0,0.0,110.0,6.0,0.0
Black Pepper (1/4 tsp),Condiment,Dinner,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
Egg Yolk (1 large in sauce),Protein,Dinner,55.0,2.7,0.6,4.5,0.0,0.3,8.0,184.0,0.0
Supplì (1 piece fried rice ball),Snack/Processed,Snack,200.0,8.0,25.0,8.0,2.0,2.0,400.0,25.0,0.0
Aperol Spritz (1 drink),Beverage,Snack,180.0,0.0,20.0,0.0,0.0,20.0,10.0,0.0,150.0
Prosecco (3 oz),Beverage,Snack,70.0,0.0,2.0,0.0,0.0,1.5,5.0,0.0,0.0
Club Soda (2 oz),Beverage,Snack,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
Orange Slice (garnish),Fruit,Snack,5.0,0.1,1.0,0.0,0.2,0.8,0.0,0.0,0.0
Tagliatelle al Ragù (Bolognese),Meal/Pasta,Dinner,550.0,28.0,65.0,20.0,7.0,8.0,850.0,70.0,500.0
Ground Beef (2 oz in sauce),Protein/Meat,Dinner,140.0,11.0,0.0,10.0,0.0,0.0,40.0,35.0,0.0
Pancetta (0.5 oz in sauce),Protein/Meat,Dinner,45.0,1.5,0.0,4.5,0.0,0.0,160.0,10.0,0.0
Carrot (1/4 minced in sauce),Vegetable,Dinner,10.0,0.2,2.4,0.1,0.7,1.2,17.0,0.0,0.0
Celery (1/4 stalk minced),Vegetable,Dinner,2.0,0.1,0.4,0.0,0.2,0.2,12.0,0.0,0.0
Onion (1/8 minced in sauce),Vegetable,Dinner,5.0,0.1,1.2,0.0,0.2,0.6,1.0,0.0,0.0
Crushed Tomatoes (1/2 cup sauce),Vegetable,Dinner,20.0,1.0,4.0,0.0,1.5,3.0,200.0,0.0,0.0
Parmigiano-Reggiano (1 tbsp),Dairy,Dinner,22.0,2.0,0.2,1.5,0.0,0.0,95.0,4.0,0.0
Cannoli (1 medium),Dessert,Snack,240.0,5.0,25.0,13.0,1.0,18.0,100.0,30.0,0.0
Ricotta (filling 1 oz),Dairy,Snack,49.0,3.2,0.8,3.8,0.0,0.1,23.0,14.0,0.0
Pistachio (garnish),Nut,Snack,10.0,0.4,0.5,0.8,0.2,0.1,0.0,0.0,0.0
Biscotti (1 cookie),Dessert,Snack,110.0,2.0,18.0,4.0,1.0,9.0,50.0,15.0,0.0
Espresso (for dipping),Beverage,Snack,2.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,30.0
Focaccia (1 square),Grain,Lunch,250.0,8.0,40.0,7.0,2.0,2.0,500.0,0.0,0.0
Rosemary (1 tsp topping),Condiment,Lunch,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
Coarse Salt (garnish),Condiment,Lunch,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
Olive Oil (1 tbsp drizzle),Condiment,Lunch,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Bruschetta (2 pcs),Snack/Appetizer,Snack,180.0,4.0,25.0,7.0,3.0,4.0,350.0,0.0,0.0
Balsamic Glaze (1 tsp),Condiment,Snack,13.0,0.0,3.0,0.0,0.0,2.7,3.0,0.0,0.0
Ribollita (1.5 cups soup),Meal/Soup,Dinner,350.0,15.0,55.0,8.0,14.0,10.0,900.0,5.0,500.0
Cannellini Beans (1/2 cup in soup),Legume,Dinner,105.0,7.0,20.0,0.5,6.0,1.0,230.0,0.0,0.0
Kale (1 cup in soup),Vegetable,Dinner,33.0,2.9,6.0,0.6,2.0,1.0,29.0,0.0,0.0
Stale Bread (1/2 cup in soup),Grain,Dinner,80.0,3.0,15.0,1.0,1.0,1.5,160.0,0.0,0.0
Polenta (1 cup creamy),Meal/Grain,Dinner,150.0,3.0,32.0,1.0,3.0,1.0,350.0,5.0,0.0
Gorgonzola Cheese (1 oz),Dairy,Dinner,100.0,6.0,0.7,8.0,0.0,0.1,325.0,21.0,0.0
Negroni (1 drink),Beverage,Snack,190.0,0.0,15.0,0.0,0.0,15.0,5.0,0.0,90.0
Gin (1 oz),Beverage,Snack,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campari (1 oz),Beverage,Snack,80.0,0.0,10.0,0.0,0.0,10.0,5.0,0.0,0.0
Sweet Vermouth (1 oz),Beverage,Snack,40.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Orange Peel (garnish),Condiment,Snack,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
Osso Buco (1 serving),Meal/Meat,Dinner,550.0,45.0,15.0,30.0,4.0,6.0,900.0,150.0,0.0
Gremolata (1 tbsp),Condiment,Dinner,15.0,0.5,1.0,1.0,0.5,0.5,5.0,0.0,0.0
Risotto alla Milanese (1 cup),Meal/Rice,Dinner,350.0,10.0,50.0,12.0,3.0,3.0,700.0,30.0,0.0
Saffron (pinch in risotto),Condiment,Dinner,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Panettone (1 slice),Dessert,Snack,320.0,6.0,50.0,12.0,3.0,25.0,200.0,70.0,0.0
Candied Fruit (1 tbsp),Fruit,Snack,30.0,0.0,8.0,0.0,0.5,8.0,5.0,0.0,0.0
Amaretti Cookie (2 cookies),Dessert,Snack,90.0,2.0,12.0,4.0,1.0,10.0,10.0,0.0,0.0
Limoncello (1.5 oz shot),Beverage,Snack,150.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0
Panna Cotta (1 serving),Dessert,Snack,300.0,4.0,25.0,20.0,0.0,22.0,50.0,70.0,0.0
Berry Coulis (1 tbsp),Condiment,Snack,20.0,0.0,5.0,0.0,0.5,4.5,0.0,0.0,0.0
Saltimbocca (1 serving),Meal/Meat,Dinner,380.0,38.0,5.0,22.0,0.5,1.0,850.0,120.0,0.0
Prosciutto (1 slice wrapper),Protein/Meat,Dinner,35.0,4.0,0.0,2.5,0.0,0.0,280.0,10.0,0.0
Sage (2 leaves),Condiment,Dinner,1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
White Wine Sauce (1/4 cup),Condiment,Dinner,80.0,1.0,4.0,6.0,0.5,2.0,300.0,5.0,0.0
Polenta (grilled 1 slice),Meal/Grain,Dinner,120.0,2.5,25.0,1.0,2.0,0.5,300.0,0.0,0.0
Caponata (1/2 cup),Meal/Vegetable,Dinner,180.0,2.0,15.0,14.0,5.0,9.0,400.0,0.0,0.0
Eggplant (1/2 cup in caponata),Vegetable,Dinner,40.0,0.5,6.0,2.0,2.0,3.0,150.0,0.0,0.0
Pine Nuts (1/2 tbsp),Nut,Dinner,48.0,1.0,1.0,5.0,0.2,0.2,0.0,0.0,0.0
Raisins (1 tbsp),Fruit,Dinner,27.0,0.3,7.0,0.0,0.3,6.0,1.0,0.0,0.0
Gelato (Pistachio 1/2 cup),Dessert,Snack,220.0,5.0,24.0,12.0,2.0,20.0,60.0,40.0,0.0
Waffle Cone (1 small),Grain,Snack,70.0,1.0,13.0,1.5,0.5,7.0,30.0,5.0,0.0
Cacio e Pepe (1.5 cups),Meal/Pasta,Dinner,500.0,18.0,65.0,19.0,4.0,3.0,700.0,50.0,0.0
Pecorino Romano (1/4 cup),Dairy,Dinner,110.0,7.5,1.0,8.5,0.0,0.0,450.0,25.0,0.0
Black Pepper (1/2 tsp),Condiment,Dinner,3.0,0.1,0.7,0.0,0.3,0.0,0.0,0.0,0.0
Fiorentina Steak (3oz portion),Protein/Meat,Dinner,230.0,24.0,0.0,15.0,0.0,0.0,60.0,75.0,0.0
Olive Oil (1 tbsp drizzle),Condiment,Dinner,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Rosemary (garnish),Condiment,Dinner,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
White Beans (Tuscan style 1/2 cup),Legume,Dinner,150.0,8.0,20.0,4.0,7.0,2.0,350.0,0.0,0.0
Garlic (1 clove in beans),Vegetable,Dinner,4.0,0.2,0.9,0.0,0.1,0.0,1.0,0.0,0.0
Sage (in beans),Condiment,Dinner,1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Arancini (1 large ball),Snack/Processed,Snack,250.0,9.0,30.0,10.0,3.0,3.0,500.0,30.0,0.0
Ragù (filling 1 tbsp),Condiment,Snack,25.0,1.5,1.0,1.5,0.5,0.5,60.0,5.0,0.0
Mozzarella (filling 0.5 oz),Dairy,Snack,40.0,3.0,0.5,3.0,0.0,0.2,75.0,10.0,0.0
Breadcrumbs (coating),Grain,Snack,25.0,0.5,4.0,0.5,0.5,0.5,50.0,0.0,0.0
Campari & Soda (1 drink),Beverage,Snack,85.0,0.0,10.0,0.0,0.0,10.0,25.0,0.0,150.0
Olive (garnish),Fruit,Snack,5.0,0.0,0.1,0.5,0.1,0.0,30.0,0.0,0.0
Vitello Tonnato (1 serving),Meal/Meat,Lunch,380.0,35.0,3.0,25.0,0.5,1.0,600.0,110.0,0.0
Tuna Sauce (2 tbsp),Condiment,Lunch,100.0,4.0,1.0,9.0,0.0,0.5,200.0,15.0,0.0
Capers (garnish),Condiment,Lunch,2.0,0.2,0.4,0.1,0.3,0.1,200.0,0.0,0.0
Lemon Slice (garnish),Condiment,Lunch,1.0,0.0,0.3,0.0,0.1,0.1,0.0,0.0,0.0
Gnocchi alla Sorrentina (1.5 cups),Meal/Pasta,Dinner,450.0,15.0,60.0,18.0,6.0,9.0,800.0,40.0,0.0
Tomato Sauce (1/2 cup),Condiment,Dinner,40.0,1.5,7.0,1.0,2.0,4.0,350.0,0.0,0.0
Mozzarella (1 oz melted),Dairy,Dinner,80.0,6.0,1.0,6.0,0.0,0.5,150.0,20.0,0.0
Basil (fresh garnish),Condiment,Dinner,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Parmigiano-Reggiano (1 tbsp),Dairy,Dinner,22.0,2.0,0.2,1.5,0.0,0.0,95.0,4.0,0.0
Pesto (1/4 cup),Condiment,Dinner,290.0,5.0,4.0,29.0,2.0,1.0,600.0,5.0,0.0
Pine Nuts (1 tbsp in pesto),Nut,Dinner,95.0,2.0,2.0,10.0,0.5,0.5,0.0,0.0,0.0
Garlic (1/2 clove in pesto),Vegetable,Dinner,2.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Trofie Pasta (1 cup cooked),Grain,Dinner,210.0,7.0,43.0,1.0,2.0,1.0,5.0,0.0,0.0
Green Beans (1/2 cup w/ pasta),Vegetable,Dinner,15.0,0.9,3.5,0.1,1.3,1.6,3.0,0.0,0.0
Potato (1/2 w/ pasta),Vegetable,Dinner,65.0,1.0,15.0,0.1,1.0,0.5,3.0,0.0,0.0
Espresso Martini (1 drink),Beverage,Snack,280.0,0.5,25.0,0.0,0.0,25.0,5.0,0.0,120.0
Vodka (1.5 oz),Beverage,Snack,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coffee Liqueur (1 oz),Beverage,Snack,100.0,0.0,15.0,0.0,0.0,15.0,2.0,0.0,0.0
Espresso (1 oz in drink),Beverage,Snack,3.0,0.3,0.0,0.1,0.0,0.0,1.0,0.0,0.0
Simple Syrup (1/2 oz),Condiment,Snack,30.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0
Coffee Beans (3 garnish),Snack,Snack,2.0,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0
Baba Ganoush (1/4 cup),Meal/Vegetable,Snack,100.0,2.0,8.0,7.0,4.0,2.0,300.0,0.0,0.0
Pita Bread (1 white),Grain,Snack,165.0,5.5,33.0,1.2,1.5,1.5,310.0,0.0,0.0
Falafel (3 pieces),Meal/Vegetarian,Lunch,180.0,6.0,18.0,9.0,4.0,1.0,320.0,0.0,0.0
Tahini Sauce (1 tbsp),Condiment,Lunch,30.0,1.0,1.5,2.5,0.5,0.0,45.0,0.0,0.0
Pickled Turnips (2 tbsp),Vegetable,Lunch,10.0,0.2,2.0,0.0,0.5,1.0,200.0,0.0,0.0
Shawarma (Chicken 1 wrap),Meal/Processed,Lunch,550.0,30.0,50.0,25.0,6.0,5.0,1100.0,80.0,250.0
Garlic Sauce (1 tbsp),Condiment,Lunch,90.0,0.1,1.0,10.0,0.0,0.5,80.0,5.0,0.0
Hummus (1/4 cup),Legume,Lunch,130.0,5.0,10.0,8.0,4.0,1.0,250.0,0.0,0.0
Tabouli (1/2 cup),Meal/Vegetarian,Lunch,120.0,3.0,15.0,6.0,4.0,2.0,300.0,0.0,0.0
Bulgur (1/4 cup in tabouli),Grain,Lunch,76.0,2.7,16.8,0.2,4.1,0.1,4.0,0.0,0.0
Parsley (1/4 cup in tabouli),Vegetable,Lunch,5.0,0.3,1.0,0.1,0.5,0.1,5.0,0.0,0.0
Mint (1 tbsp in tabouli),Condiment,Lunch,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Lemon Juice (1 tbsp dressing),Condiment,Lunch,4.0,0.1,1.3,0.0,0.1,0.2,0.0,0.0,0.0
Olive Oil (1 tbsp dressing),Condiment,Lunch,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Kibbeh (1 piece fried),Meal/Meat,Snack,230.0,9.0,20.0,13.0,3.0,1.0,450.0,30.0,0.0
Pine Nuts (1/2 tbsp filling),Nut,Snack,48.0,1.0,1.0,5.0,0.2,0.2,0.0,0.0,0.0
Ground Lamb (1 oz filling),Protein/Meat,Snack,80.0,5.5,0.0,6.0,0.0,0.0,20.0,20.0,0.0
Bulgur (1 tbsp shell),Grain,Snack,15.0,0.5,3.4,0.0,0.8,0.0,1.0,0.0,0.0
Lentil Soup (1 cup Middle Eastern),Meal/Legume,Lunch,200.0,10.0,30.0,5.0,10.0,4.0,700.0,0.0,250.0
Cumin (1 tsp),Condiment,Lunch,8.0,0.3,1.5,0.5,0.4,0.1,3.0,0.0,0.0
Coriander (1 tsp),Condiment,Lunch,5.0,0.1,1.0,0.2,0.5,0.0,1.0,0.0,0.0
Lemon Juice (1 tsp in soup),Condiment,Lunch,1.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0
Pita Crisps (1 oz),Snack/Processed,Lunch,130.0,3.0,18.0,5.0,2.0,1.0,240.0,0.0,0.0
Manakeesh (Za'atar 1 small),Meal/Vegetarian,Breakfast,300.0,7.0,45.0,10.0,4.0,2.0,500.0,0.0,0.0
Za'atar (1 tbsp),Condiment,Breakfast,40.0,1.0,3.0,3.0,1.5,0.0,150.0,0.0,0.0
Olive Oil (1 tbsp on bread),Condiment,Breakfast,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Labneh (2 tbsp),Dairy,Breakfast,60.0,4.0,2.0,4.0,0.0,2.0,80.0,15.0,0.0
Cucumber (1/4 cup side),Vegetable,Breakfast,8.0,0.3,1.8,0.0,0.2,0.8,1.0,0.0,0.0
Tomato (1/4 cup side),Vegetable,Breakfast,8.0,0.3,1.8,0.1,0.5,1.2,2.0,0.0,0.0
Olives (5 side),Fruit,Breakfast,35.0,0.2,1.0,3.5,0.5,0.0,210.0,0.0,0.0
Mint Tea (1 cup),Beverage,Breakfast,2.0,0.1,0.5,0.0,0.0,0.0,5.0,0.0,240.0
Stuffed Grape Leaves (3 pcs),Meal/Vegetarian,Snack,150.0,3.0,20.0,7.0,3.0,3.0,400.0,0.0,0.0
Rice (1/4 cup filling),Grain,Snack,51.0,1.1,11.1,0.1,0.1,0.0,0.0,0.0,0.0
Turkish Coffee (1 small cup),Beverage,Snack,5.0,0.2,0.5,0.0,0.0,0.0,1.0,0.0,60.0
Cardamom (in coffee),Condiment,Snack,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
Shish Tawook (2 skewers),Meal/Meat,Dinner,300.0,35.0,5.0,16.0,1.0,2.0,600.0,100.0,0.0
Garlic Sauce (Toum 1 tbsp),Condiment,Dinner,90.0,0.1,1.0,10.0,0.0,0.5,80.0,5.0,0.0
French Fries (side),Vegetable/Processed,Dinner,340.0,4.0,44.0,17.0,4.0,0.3,230.0,0.0,0.0
Pickled Cucumber (1/4 cup),Vegetable,Dinner,10.0,0.5,2.0,0.0,1.0,1.0,300.0,0.0,0.0
Fattoush Salad (1.5 cups),Meal/Vegetarian,Lunch,250.0,5.0,25.0,15.0,6.0,5.0,500.0,0.0,0.0
Fried Pita (1/2 pita in salad),Grain,Lunch,80.0,2.0,12.0,3.0,1.0,0.5,150.0,0.0,0.0
Sumac (1/2 tsp dressing),Condiment,Lunch,5.0,0.1,1.0,0.2,0.5,0.0,1.0,0.0,0.0
Pomegranate Molasses (1 tsp),Condiment,Lunch,15.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
